Designator,Footprint,Quantity,Value,LCSC Part #
"C201, C304, C306, C307, C309, C310, C312, C314, C315, C316, C317, C318, C319, C320, C321, C323, C324, C401, C404, C405, C406",0402,21,100n,C307331
"C202, C403, C407, C501, C502, C503, C504, C505, C506",0603,9,100n,C14663
"C203, C207",0603,2,1u,C15849
C204,0402,1,4u7,C23733
"C205, C402",CP_EIA-3216-10_Kemet-I_Pad1.58x1.35mm_HandSolder,2,10u,C7171
C206,0402,1,10n,C15195
C208,0603,1,4u7,C19666 
"C301, C303",0402,2,1u,C15849
"C302, C305",0402,2,10p,C32949
C308,0402,1,4u7,C96446
"C311, C313",0402,2,2u2,C12530
C322,0805,1,10u,C307331
"D201, D202, D203",D_SOD-123FL,3,D_Schottky,
D204,0805,1,BATT_LED,C2297
D205,0805,1,3V3_LED,C2297
"D302, D303, D305, D306, D307",0603,5,LED_WHITE,C2290
D304,D_SOD-323,1,D_Schottky,C191023
"D501, D507, D509",PinHeader_1x02_P2.54mm_Vertical,3,SFH 4550,
"D502, D503, D504, D505, D506, D508",PinHeader_1x02_P2.54mm_Vertical,6,LED,
FB301,0603,1,Optionally,C1002
"H201, H202, H203, H204",MountingHole_3mm,4,MountingHole,
"H401, H402, H403, H404",MountingHole_5mm,4,MountingHole,
IC302,ESP32S3MINI1N8,1,ESP32-S3-MINI-1-N8,
IC501,SOIC127P600X175-16N,1,ULN2003ADR,
J201,AMASS_XT30U-M_1x02_P5.0mm_Vertical,1,XT30,
J202,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,1,USB_C_Receptacle_USB2.0,
J301,PinHeader_2x05_P2.54mm_Vertical,1,Conn_02x05_Counter_Clockwise,
J302,PinHeader_1x04_P2.54mm_Vertical,1,Conn_01x04,
"J401, J402",PinHeader_1x06_P2.54mm_Vertical,2,Conn_01x06,
J601,PinHeader_1x08_P2.54mm_Vertical,1,Conn_01x08,
J602,PinHeader_1x05_P2.54mm_Vertical,1,Conn_01x05,
JP201,PinHeader_1x02_P2.54mm_Vertical,1,Jumper_2_Bridged,
Q201,SOT-23-3,1,PMOS,C15127
Q501,PinHeader_1x02_P2.54mm_Vertical,1,SFH 300 FA-3/4,
"Q502, Q503, Q504, Q505, Q506",PinHeader_1x02_P2.54mm_Vertical,5,Q_Photo_NPN,
"R201, R202",0402,2,5k1,C25905
R203,0603,1,10k,C25804
R204,0603,1,0,C21189
R205,0603,1,82k,C23254
R206,0603,1,51k,C23196
R207,0603,1,2k2,C4190
"R208, R302, R305, R309, R310, R318, R501, R503, R505, R507, R509, R511, R513, R514, R515",0603,15,1K,C21190
R301,0603,1,1k,
R303,0402,1,22,C25092
"R304, R311, R401",0402,3,10k,C25744
R306,0603,1,10k,C25744
"R307, R308",0402,2,1k,C11702
"R312, R313",0603,2,100,
"R314, R315, R316",0603,3,22,
R317,0603,1,22,
R319,0603,1,0,
"R502, R504, R506, R508, R510, R512",0805,6,47,C17714
SW201,SW_Slide_1P2T_CK_OS102011MS2Q,1,SW_SPDT,
SW301,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,NRST,
SW302,SW_E-Switch_EG1271_SPDT,1,SW_SPDT,
"SW303, SW304",SW_Push_1P1T_NO_6x6mm_H9.5mm,2,USER,
SW305,SW_PUSH_1P1T_6x3.5mm_H4.3_APEM_MJTP1243,1,ESP_RST,
SW306,SW_Push_1P1T_NO_6x6mm_H9.5mm,1,BOOT,
"TP202, TP203, TP204, TP205, TP206, TP301",TestPoint_Pad_D1.0mm,6,TestPoint,
U201,SOT-23-6,1,USBLC6-2SC6,
U202,SOT-223-3_TabPin2,1,LDL1117S33R,
U301,LQFP-64_10x10mm_P0.5mm,1,STM32F405RGT6,C15742
U401,SSOP-24_5.3x8.2mm_P0.65mm,1,TB6612FNG,
Y301,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,16MHz|9p|10ppm,C13738
